,original_title,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,number_of_companies,budget_per_company,Company,revenue_per_company,Profit
656,The Interview,112.0,Action|Comedy,Columbia TriStar,12/25/14,2014,40528006,10413095,1,40528006,['Columbia TriStar'],10413095,-30114911
657,American Sniper,134.0,War|Action,Village Roadshow Pictures|Malpaso Productions|Warner Bros.|RatPac-Dune Entertainment|Mad Chance Productions,12/11/14,2014,54160153,499514514,5,10832030,"['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions']",99902902,445354361
658,Exodus: Gods and Kings,153.0,Adventure|Drama|Action,Scott Free Productions|Chernin Entertainment|Babieka|Volcano Films,12/3/14,2014,128952747,246881718,4,32238186,"['Scott Free Productions', 'Chernin Entertainment', 'Babieka', 'Volcano Films']",61720429,117928971
659,Godzilla,123.0,Action|Science Fiction|Thriller,Toho Company|Legendary Pictures|Warner Bros.|Disruption Entertainment|RatPac-Dune Entertainment,5/14/14,2014,147374568,487327232,5,29474913,"['Toho Company', 'Legendary Pictures', 'Warner Bros.', 'Disruption Entertainment', 'RatPac-Dune Entertainment']",97465446,339952664
660,Maleficent,97.0,Fantasy|Adventure|Action|Family|Romance,Walt Disney Pictures|Roth Films,5/28/14,2014,165796389,698565011,2,82898194,"['Walt Disney Pictures', 'Roth Films']",349282505,532768622
661,The November Man,108.0,Crime|Action|Thriller,Irish Dreamtime|Relativity Media|SPD Films,8/27/14,2014,13816365,29987149,3,4605455,"['Irish Dreamtime', 'Relativity Media', 'SPD Films']",9995716,16170784
662,Ouija,89.0,Horror,Universal Pictures|Platinum Dunes|Media Rights Capital|Hasbro|Blumhouse Productions,10/24/14,2014,4605455,94439261,5,921091,"['Universal Pictures', 'Platinum Dunes', 'Media Rights Capital', 'Hasbro', 'Blumhouse Productions']",18887852,89833806
663,How to Train Your Dragon 2,102.0,Fantasy|Action|Adventure|Animation|Comedy,DreamWorks Animation|Mad Hatter Entertainment,6/12/14,2014,133558202,561057788,2,66779101,"['DreamWorks Animation', 'Mad Hatter Entertainment']",280528894,427499586
664,It Follows,100.0,Thriller|Horror,Northern Lights Films|Animal Kingdom|Two Flints,8/27/14,2014,1842182,12434729,3,614060,"['Northern Lights Films', 'Animal Kingdom', 'Two Flints']",4144909,10592547
665,The Expendables 3,127.0,Action|Adventure|Thriller,Davis-Films|Nu Image Films|LionsGate|Millennium Films|Ex3 Productions,8/4/14,2014,82898194,189903685,5,16579638,"['Davis-Films', 'Nu Image Films', 'LionsGate', 'Millennium Films', 'Ex3 Productions']",37980737,107005491
666,The Lego Movie,100.0,Adventure|Fantasy|Animation|Comedy|Action,Village Roadshow Pictures|DC Comics|Vertigo Entertainment|Lin Pictures|Warner Bros. Animation,2/6/14,2014,55265463,432139714,5,11053092,"['Village Roadshow Pictures', 'DC Comics', 'Vertigo Entertainment', 'Lin Pictures', 'Warner Bros. Animation']",86427942,376874251
668,Seventh Son,102.0,Adventure|Fantasy,Legendary Pictures|Thunder Road Pictures|Outlaw Sinema|Moving Picture Company (MPC)|Pendle Mountain Productions,12/12/14,2014,87503649,105168898,5,17500729,"['Legendary Pictures', 'Thunder Road Pictures', 'Outlaw Sinema', 'Moving Picture Company (MPC)', 'Pendle Mountain Productions']",21033779,17665249
669,The Theory of Everything,123.0,Drama|Romance,Working Title Films,11/26/14,2014,13816365,111638022,1,13816365,['Working Title Films'],111638022,97821657
670,Let's Be Cops,104.0,Comedy,Twentieth Century Fox Film Corporation|WideAwake|Genre Films,8/13/14,2014,15658547,125840630,3,5219515,"['Twentieth Century Fox Film Corporation', 'WideAwake', 'Genre Films']",41946876,110182083
671,Dracula Untold,92.0,Horror|Action|Drama|Fantasy|War,Universal Pictures|Legendary Pictures|Fuji Television Network|Dentsu|Michael De Luca Productions,10/1/14,2014,64476373,198522018,5,12895274,"['Universal Pictures', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu', 'Michael De Luca Productions']",39704403,134045645
672,Penguins of Madagascar,92.0,Family|Animation|Adventure|Comedy,DreamWorks Animation,11/22/14,2014,121584018,344075490,1,121584018,['DreamWorks Animation'],344075490,222491472
673,Into the Woods,125.0,Fantasy|Comedy|Music,Walt Disney Pictures|Marc Platt Productions|Lucamar Productions,12/25/14,2014,46054552,196102469,3,15351517,"['Walt Disney Pictures', 'Marc Platt Productions', 'Lucamar Productions']",65367489,150047917
674,300: Rise of an Empire,102.0,Action|War,Legendary Pictures|Hollywood Gang Productions|Atmosphere Entertainment MM|Warner Bros.|Nimar Studios,3/5/14,2014,101320015,310941963,5,20264003,"['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios']",62188392,209621948
675,The Giver,94.0,Drama|Science Fiction,The Weinstein Company|Walden Media|Tonik Productions|Asis Productions,8/11/14,2014,23027276,61695098,4,5756819,"['The Weinstein Company', 'Walden Media', 'Tonik Productions', 'Asis Productions']",15423774,38667822
676,22 Jump Street,112.0,Crime|Comedy|Action,Columbia Pictures|Original Film|Media Rights Capital|Metro-Goldwyn-Mayer (MGM)|Cannell Studios,6/5/14,2014,46054552,173571884,5,9210910,"['Columbia Pictures', 'Original Film', 'Media Rights Capital', 'Metro-Goldwyn-Mayer (MGM)', 'Cannell Studios']",34714376,127517332
677,A Walk Among the Tombstones,113.0,Crime|Drama|Mystery|Thriller,Double Feature Films|Jersey Films|1984 Private Defense Contractors|Cross Creek Pictures|Exclusive Media Group,9/18/14,2014,25790549,48985095,5,5158109,"['Double Feature Films', 'Jersey Films', '1984 Private Defense Contractors', 'Cross Creek Pictures', 'Exclusive Media Group']",9797019,23194546
678,Paddington,95.0,Comedy,The Weinstein Company|StudioCanal|TF1 Films Production|Canal+|Heyday Films,11/27/14,2014,50660007,238753457,5,10132001,"['The Weinstein Company', 'StudioCanal', 'TF1 Films Production', 'Canal+', 'Heyday Films']",47750691,188093450
679,Cake,102.0,Drama,Echo Films|We're Not Brothers Productions|Cinelou Films,9/7/14,2014,6447637,2174033,3,2149212,"['Echo Films', ""We're Not Brothers Productions"", 'Cinelou Films']",724677,-4273604
680,Chef,115.0,Comedy,Open Road Films|Aldamisa Entertainment|Kilburn Media|Fetisov Teterin Films,5/8/14,2014,10132001,42340653,4,2533000,"['Open Road Films', 'Aldamisa Entertainment', 'Kilburn Media', 'Fetisov Teterin Films']",10585163,32208652
681,The Purge: Anarchy,104.0,Horror|Thriller,Universal Pictures|Why Not Productions|Platinum Dunes|Blumhouse Productions|5150 Action,7/17/14,2014,8289819,100198906,5,1657963,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '5150 Action']",20039781,91909087
682,Left Behind,110.0,Thriller|Action|Science Fiction,Stoney Lake Entertainment,10/3/14,2014,14737456,18129765,1,14737456,['Stoney Lake Entertainment'],18129765,3392309
683,Boyhood,164.0,Drama,Detour Filmproduction|IFC Productions,6/5/14,2014,3684364,40849467,2,1842182,"['Detour Filmproduction', 'IFC Productions']",20424733,37165103
684,A Most Violent Year,125.0,Action|Thriller|Crime|Drama,Participant Media|Imagenation Abu Dhabi FZ|FilmNation Entertainment|Before the Door Pictures|Washington Square Films,12/30/14,2014,18421821,11059604,5,3684364,"['Participant Media', 'Imagenation Abu Dhabi FZ', 'FilmNation Entertainment', 'Before the Door Pictures', 'Washington Square Films']",2211920,-7362217
685,Hercules,99.0,Action|Adventure,Paramount Pictures|Metro-Goldwyn-Mayer (MGM)|Radical Studios|Flynn Picture Company,7/23/14,2014,92109105,224193561,4,23027276,"['Paramount Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'Radical Studios', 'Flynn Picture Company']",56048390,132084456
686,Noah,139.0,Drama|Adventure,Paramount Pictures|Regency Enterprises|Protozoa Pictures|Disruption Entertainment,3/20/14,2014,115136381,334022131,4,28784095,"['Paramount Pictures', 'Regency Enterprises', 'Protozoa Pictures', 'Disruption Entertainment']",83505532,218885750
687,The Judge,141.0,Drama,Village Roadshow Pictures|Warner Bros.|Big Kid Pictures|Team Downey,10/8/14,2014,46054552,77113179,4,11513638,"['Village Roadshow Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Team Downey']",19278294,31058627
689,Blended,117.0,Comedy,Happy Madison Productions|Karz Entertainment|Warner Bros.|Gulfstream Pictures,5/21/14,2014,36843642,113749780,4,9210910,"['Happy Madison Productions', 'Karz Entertainment', 'Warner Bros.', 'Gulfstream Pictures']",28437445,76906138
690,Neighbors,96.0,Comedy,Universal Pictures|Point Grey Pictures|Good Universe,5/8/14,2014,16579638,246997381,3,5526546,"['Universal Pictures', 'Point Grey Pictures', 'Good Universe']",82332460,230417743
691,If I Stay,106.0,Drama,New Line Cinema|Metro-Goldwyn-Mayer (MGM),8/21/14,2014,10132001,72650912,2,5066000,"['New Line Cinema', 'Metro-Goldwyn-Mayer (MGM)']",36325456,62518911
692,Step Up All In,112.0,Romance|Drama|Music,Summit Entertainment|Offspring Entertainment,7/16/14,2014,41449097,79366405,2,20724548,"['Summit Entertainment', 'Offspring Entertainment']",39683202,37917308
694,The Fault in Our Stars,125.0,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment|TSG Entertainment,5/16/14,2014,11053092,281072099,3,3684364,"['Fox 2000 Pictures', 'Temple Hill Entertainment', 'TSG Entertainment']",93690699,270019007
696,Ride Along,99.0,Action|Comedy,Universal Pictures|Rainforest Films|Cube Vision|Relativity Media,1/17/14,2014,23027276,141846012,4,5756819,"['Universal Pictures', 'Rainforest Films', 'Cube Vision', 'Relativity Media']",35461503,118818736
698,Inherent Vice,148.0,Comedy|Romance|Crime|Drama|Mystery,Ghoulardi Film Company|Warner Bros.,12/25/14,2014,18421821,10234219,2,9210910,"['Ghoulardi Film Company', 'Warner Bros.']",5117109,-8187602
699,Jack Ryan: Shadow Recruit,105.0,Action|Drama|Thriller,Paramount Pictures|Di Bonaventura Pictures|Mace Neufeld Productions|Skydance Productions|Etalon film,1/15/14,2014,55265463,46560330,5,11053092,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Mace Neufeld Productions', 'Skydance Productions', 'Etalon film']",9312066,-8705133
700,Non-Stop,106.0,Action|Thriller|Mystery,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Anton Capital Entertainment (ACE),1/26/14,2014,46054552,205227928,5,9210910,"['StudioCanal', 'Silver Pictures', 'TF1 Films Production', 'Canal+', 'Anton Capital Entertainment (ACE)']",41045585,159173376
701,Predestination,97.0,Science Fiction|Thriller,Screen Australia|Screen Queensland|Blacklab Entertainment|Wolfhound Pictures,8/28/14,2014,5066000,2763273,4,1266500,"['Screen Australia', 'Screen Queensland', 'Blacklab Entertainment', 'Wolfhound Pictures']",690818,-2302727
704,The Drop,106.0,Drama|Crime,Fox Searchlight Pictures|Chernin Entertainment,9/12/14,2014,11605747,17186067,2,5802873,"['Fox Searchlight Pictures', 'Chernin Entertainment']",8593033,5580320
705,RoboCop,102.0,Science Fiction|Action,Columbia Pictures|Strike Entertainment|Metro-Goldwyn-Mayer (MGM),1/30/14,2014,110530926,220490244,3,36843642,"['Columbia Pictures', 'Strike Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",73496748,109959318
706,Transcendence,119.0,Thriller|Science Fiction|Drama|Mystery,Alcon Entertainment|Syncopy|DMG Entertainment|Straight Up Films,4/16/14,2014,92109105,94908538,4,23027276,"['Alcon Entertainment', 'Syncopy', 'DMG Entertainment', 'Straight Up Films']",23727134,2799433
707,The Other Woman,109.0,Comedy|Romance,Twentieth Century Fox Film Corporation|LBI Productions,4/16/14,2014,36843642,181253395,2,18421821,"['Twentieth Century Fox Film Corporation', 'LBI Productions']",90626697,144409753
708,Mr. Peabody & Sherman,92.0,Animation|Adventure|Family,20th Century Fox,2/7/14,2014,133558202,251377196,1,133558202,['20th Century Fox'],251377196,117818994
710,Sin City: A Dame to Kill For,102.0,Crime|Thriller,Miramax Films|Troublemaker Studios|AR Films|Aldamisa Entertainment|Demarest Films,8/20/14,2014,59870918,36298002,5,11974183,"['Miramax Films', 'Troublemaker Studios', 'AR Films', 'Aldamisa Entertainment', 'Demarest Films']",7259600,-23572916
712,Rio 2,102.0,Animation|Adventure|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation,3/19/14,2014,94872378,460719091,2,47436189,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",230359545,365846713
713,Dumb and Dumber To,110.0,Comedy,New Line Cinema|Universal Pictures|Conundrum Entertainment|Red Granite Pictures,11/12/14,2014,36843642,156435350,4,9210910,"['New Line Cinema', 'Universal Pictures', 'Conundrum Entertainment', 'Red Granite Pictures']",39108837,119591708
715,The Monuments Men,118.0,War|Drama|History|Action,Columbia Pictures|Studio Babelsberg|Fox 2000 Pictures|Smokehouse Pictures|Obelisk Productions,1/24/14,2014,64476373,142754407,5,12895274,"['Columbia Pictures', 'Studio Babelsberg', 'Fox 2000 Pictures', 'Smokehouse Pictures', 'Obelisk Productions']",28550881,78278034
716,Unbroken,137.0,Drama|War,Legendary Pictures|3 Arts Entertainment|Jolie Pas,12/25/14,2014,59870918,150545826,3,19956972,"['Legendary Pictures', '3 Arts Entertainment', 'Jolie Pas']",50181942,90674908
717,Selma,127.0,History|Drama,Plan B Entertainment|Harpo Films|Celador Films|Cloud Eight Films|PathÃ©,12/25/14,2014,18421821,61517744,5,3684364,"['Plan B Entertainment', 'Harpo Films', 'Celador Films', 'Cloud Eight Films', 'PathÃ©']",12303548,43095923
718,Mommy,138.0,Drama,TÃ©lÃ©film Canada|Super Ã‰cran|SODEC|Metafilms,5/22/14,2014,4513346,3218356,4,1128336,"['TÃ©lÃ©film Canada', 'Super Ã‰cran', 'SODEC', 'Metafilms']",804589,-1294990
721,Wild,115.0,Drama,Fox Searchlight Pictures|Pacific Standard,12/5/14,2014,13816365,48358699,2,6908182,"['Fox Searchlight Pictures', 'Pacific Standard']",24179349,34542334
722,Pompeii,105.0,Action|Adventure|History|Romance|Drama,Impact Pictures|TriStar Pictures|Don Carmody Productions|FilmDistrict|Constantin Film International,2/18/14,2014,119741836,108533660,5,23948367,"['Impact Pictures', 'TriStar Pictures', 'Don Carmody Productions', 'FilmDistrict', 'Constantin Film International']",21706732,-11208176
723,The Best of Me,117.0,Drama|Romance,Relativity Media,10/16/14,2014,23948367,33091313,1,23948367,['Relativity Media'],33091313,9142946
724,Annie,119.0,Music|Comedy|Drama|Family,Columbia Pictures|Sony Pictures Entertainment (SPE)|Overbrook Entertainment,12/19/14,2014,59870918,123262077,3,19956972,"['Columbia Pictures', 'Sony Pictures Entertainment (SPE)', 'Overbrook Entertainment']",41087359,63391159
726,The Book of Life,95.0,Romance|Animation|Adventure|Comedy|Family,Twentieth Century Fox Film Corporation|Reel FX Creative Studios|Twentieth Century Fox Animation|Chatrone,10/1/14,2014,46054552,89748446,4,11513638,"['Twentieth Century Fox Film Corporation', 'Reel FX Creative Studios', 'Twentieth Century Fox Animation', 'Chatrone']",22437111,43693894
727,St. Vincent,102.0,Comedy,The Weinstein Company|Crescendo Productions|Chernin Entertainment|Goldenlight Films,10/9/14,2014,11974183,50510085,4,2993545,"['The Weinstein Company', 'Crescendo Productions', 'Chernin Entertainment', 'Goldenlight Films']",12627521,38535902
728,Need for Speed,130.0,Action|Crime|Drama|Thriller,DreamWorks SKG|Reliance Entertainment|Bandito Brothers|Touchstone Pictures|Electronic Arts,3/13/14,2014,60792009,187237211,5,12158401,"['DreamWorks SKG', 'Reliance Entertainment', 'Bandito Brothers', 'Touchstone Pictures', 'Electronic Arts']",37447442,126445202
731,The Hundred-Foot Journey,122.0,Drama,Amblin Entertainment|Harpo Films|Participant Media|Imagenation Abu Dhabi FZ|Reliance Entertainment,8/6/14,2014,20264003,81867328,5,4052800,"['Amblin Entertainment', 'Harpo Films', 'Participant Media', 'Imagenation Abu Dhabi FZ', 'Reliance Entertainment']",16373465,61603325
732,The Boxtrolls,97.0,Animation|Comedy|Family|Fantasy,Laika Entertainment,9/10/14,2014,55265463,99713420,1,55265463,['Laika Entertainment'],99713420,44447957
733,Big Eyes,105.0,Drama,The Weinstein Company|Silverwood Films|Electric City Entertainment|Tim Burton Productions,12/24/14,2014,9210910,26604343,4,2302727,"['The Weinstein Company', 'Silverwood Films', 'Electric City Entertainment', 'Tim Burton Productions']",6651085,17393433
734,The Prince,93.0,Thriller|Action,Grindstone Entertainment Group|Emmett/Furla Films|Oasis Films|Aperture Entertainment,8/22/14,2014,16579638,245550715,4,4144909,"['Grindstone Entertainment Group', 'Emmett/Furla Films', 'Oasis Films', 'Aperture Entertainment']",61387678,228971077
738,The Signal,95.0,Thriller|Science Fiction,Automatik Entertainment|Low Spark Films,3/15/14,2014,3684364,553479,2,1842182,"['Automatik Entertainment', 'Low Spark Films']",276739,-3130885
740,Into the Storm,89.0,Action|Thriller,New Line Cinema|Village Roadshow Pictures|Broken Road Productions,8/6/14,2014,46054552,147929243,3,15351517,"['New Line Cinema', 'Village Roadshow Pictures', 'Broken Road Productions']",49309747,101874691
743,Planes: Fire & Rescue,83.0,Animation|Comedy|Adventure|Family,Walt Disney Pictures|DisneyToon Studios|Prana Studios|Prana Animation Studios,7/17/14,2014,46054552,139237453,4,11513638,"['Walt Disney Pictures', 'DisneyToon Studios', 'Prana Studios', 'Prana Animation Studios']",34809363,93182901
745,Sabotage,110.0,Action|Drama|Thriller|Crime,Open Road Films|QED International|Albert S. Ruddy Productions|Crave Films|Roth Films,3/28/14,2014,32238186,16126939,5,6447637,"['Open Road Films', 'QED International', 'Albert S. Ruddy Productions', 'Crave Films', 'Roth Films']",3225387,-16111247
750,No Good Deed,84.0,Thriller,Sony Pictures|Screen Gems,9/12/14,2014,12158401,49582713,2,6079200,"['Sony Pictures', 'Screen Gems']",24791356,37424312
751,Still Alice,99.0,Drama,Killer Films|Big Indie Pictures|Backup Media|BSM Studio,12/5/14,2014,4605455,38499379,4,1151363,"['Killer Films', 'Big Indie Pictures', 'Backup Media', 'BSM Studio']",9624844,33893924
752,"As Above, So Below",93.0,Horror|Thriller,Legendary Pictures,8/14/14,2014,4605455,36935751,1,4605455,['Legendary Pictures'],36935751,32330296
753,Foxcatcher,134.0,Drama|Thriller,Likely Story|Media Rights Capital|Annapurna Pictures,5/19/14,2014,22106185,11141793,3,7368728,"['Likely Story', 'Media Rights Capital', 'Annapurna Pictures']",3713931,-10964392
755,Endless Love,103.0,Drama|Romance,Universal Pictures|Fake Empire|Bluegrass Films,2/12/14,2014,18421821,31388867,3,6140607,"['Universal Pictures', 'Fake Empire', 'Bluegrass Films']",10462955,12967046
756,The Rover,100.0,Crime|Drama,Porchlight Films|FilmNation Entertainment|Screen Australia|Screen NSW|Blue-Tongue Films,5/18/14,2014,11283365,2114293,5,2256673,"['Porchlight Films', 'FilmNation Entertainment', 'Screen Australia', 'Screen NSW', 'Blue-Tongue Films']",422858,-9169072
757,Think Like a Man Too,106.0,Comedy|Romance,Screen Gems|Will Packer Productions|Silver State Production Services,6/19/14,2014,22106185,64643485,3,7368728,"['Screen Gems', 'Will Packer Productions', 'Silver State Production Services']",21547828,42537300
758,Suite FranÃ§aise,107.0,Drama|Romance|War,Qwerty Films|Alliance Films|Canal+|TF1 Droits Audiovisuels|Scope Pictures,11/5/14,2014,13816365,8386272,5,2763273,"['Qwerty Films', 'Alliance Films', 'Canal+', 'TF1 Droits Audiovisuels', 'Scope Pictures']",1677254,-5430093
760,Walk of Shame,95.0,Comedy,Lakeshore Entertainment|Sidney Kimmel Entertainment|FilmDistrict,5/2/14,2014,13816365,54536,3,4605455,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'FilmDistrict']",18178,-13761829
762,Annabelle,99.0,Horror,New Line Cinema|The Safran Company|Evergreen Media Group|RatPac-Dune Entertainment,10/2/14,2014,5987091,235130424,4,1496772,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group', 'RatPac-Dune Entertainment']",58782606,229143333
765,"I, Frankenstein",92.0,Horror|Thriller,Lakeshore Entertainment|Sidney Kimmel Entertainment|Lionsgate|Hopscotch Films,1/22/14,2014,59870918,65539857,4,14967729,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Lionsgate', 'Hopscotch Films']",16384964,5668939
766,That Awkward Moment,94.0,Comedy|Romance,Treehouse Pictures,1/29/14,2014,7368728,23993576,1,7368728,['Treehouse Pictures'],23993576,16624848
768,Draft Day,109.0,Drama,Summit Entertainment|Lionsgate,4/11/14,2014,24869458,26556109,2,12434729,"['Summit Entertainment', 'Lionsgate']",13278054,1686651
769,Brick Mansions,90.0,Action|Crime|Drama,Canal+|EuropaCorp|CinÃ©+|D8,4/22/14,2014,25790549,63460252,4,6447637,"['Canal+', 'EuropaCorp', 'CinÃ©+', 'D8']",15865063,37669703
770,The Babadook,93.0,Drama|Thriller|Horror,South Australian Film Corporation|Screen Australia|Smoking Gun Productions|Causeway Films,5/22/14,2014,1842182,6149637,4,460545,"['South Australian Film Corporation', 'Screen Australia', 'Smoking Gun Productions', 'Causeway Films']",1537409,4307455
771,Tammy,97.0,Comedy,New Line Cinema|Gary Sanchez Productions,7/2/14,2014,18421821,92593075,2,9210910,"['New Line Cinema', 'Gary Sanchez Productions']",46296537,74171254
780,Winter's Tale,118.0,Drama|Fantasy|Mystery|Romance,Village Roadshow Pictures|Weed Road Pictures|Warner Bros.,2/13/14,2014,55265463,28369817,3,18421821,"['Village Roadshow Pictures', 'Weed Road Pictures', 'Warner Bros.']",9456605,-26895646
783,The Guest,99.0,Mystery|Thriller|Action,HanWay Films|Snoot Entertainment,9/17/14,2014,4605455,2180370,2,2302727,"['HanWay Films', 'Snoot Entertainment']",1090185,-2425085
788,The Water Diviner,112.0,War|Drama,Hopscotch Features|RatPac Entertainment|Seven West Media|Fear of God Films|Seven Group Holdings,12/25/14,2014,20724548,14295354,5,4144909,"['Hopscotch Features', 'RatPac Entertainment', 'Seven West Media', 'Fear of God Films', 'Seven Group Holdings']",2859070,-6429194
789,The Green Inferno,100.0,Horror|Thriller,Worldview Entertainment|Dragonfly Entertainment|Sobras International Pictures|Top Hat Releasing|BH Tilt,9/4/14,2014,4605455,6294225,5,921091,"['Worldview Entertainment', 'Dragonfly Entertainment', 'Sobras International Pictures', 'Top Hat Releasing', 'BH Tilt']",1258845,1688770
792,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81.0,Family|Comedy,"Walt Disney Pictures|21 Laps Entertainment|Jim Henson Company, The",10/8/14,2014,25790549,92711635,3,8596849,"['Walt Disney Pictures', '21 Laps Entertainment', 'Jim Henson Company, The']",30903878,66921086
793,This Is Where I Leave You,103.0,Drama|Comedy,Spring Creek Productions|21 Laps Entertainment|Warner Bros.,9/10/14,2014,18237602,38037670,3,6079200,"['Spring Creek Productions', '21 Laps Entertainment', 'Warner Bros.']",12679223,19800068
794,The Homesman,122.0,Western|Drama,The Javelina Film Company|EuropaCorp|Ithaca Pictures,5/18/14,2014,14737456,2238241,3,4912485,"['The Javelina Film Company', 'EuropaCorp', 'Ithaca Pictures']",746080,-12499215
801,Big Game,90.0,Action|Adventure,Head Gear Films|Altitude Film Entertainment|Film House Germany|Metrol Technology|Ketchup Entertainment,9/5/14,2014,7829273,6908182,5,1565854,"['Head Gear Films', 'Altitude Film Entertainment', 'Film House Germany', 'Metrol Technology', 'Ketchup Entertainment']",1381636,-921091
803,Jersey Boys,134.0,Music|Drama,Warner Bros.,6/5/14,2014,36843642,62032730,1,36843642,['Warner Bros.'],62032730,25189088
804,About Last Night,100.0,Comedy|Romance,"Screen Gems, Inc.|Rainforest Films|Olive Bridge Entertainment",2/14/14,2014,11513638,45135933,3,3837879,"['Screen Gems, Inc.', 'Rainforest Films', 'Olive Bridge Entertainment']",15045311,33622295
805,Million Dollar Arm,124.0,Drama,Walt Disney Pictures,5/9/14,2014,23027276,35284812,1,23027276,['Walt Disney Pictures'],35284812,12257536
806,Wish I Was Here,120.0,Drama|Comedy,Double Feature Films|Wild Bunch|Worldview Entertainment,1/18/14,2014,5066000,5050617,3,1688666,"['Double Feature Films', 'Wild Bunch', 'Worldview Entertainment']",1683539,-15383
807,Infinitely Polar Bear,87.0,Comedy|Drama,Paper Street Films|Bad Robot|Park Pictures|KGB Media,1/18/14,2014,6171310,1317763,4,1542827,"['Paper Street Films', 'Bad Robot', 'Park Pictures', 'KGB Media']",329440,-4853547
812,Under the Skin,108.0,Thriller|Science Fiction|Drama,Scottish Screen|UK Film Council|FilmNation Entertainment|Nick Wechsler Productions|Creative Scotland,3/14/14,2014,12250510,4955701,5,2450102,"['Scottish Screen', 'UK Film Council', 'FilmNation Entertainment', 'Nick Wechsler Productions', 'Creative Scotland']",991140,-7294809
813,Veronica Mars,107.0,Comedy|Drama|Crime,Warner Bros.|Warner Bros. Interactive Entertainment|Rob Thomas Productions,3/13/14,2014,5526546,3210119,3,1842182,"['Warner Bros.', 'Warner Bros. Interactive Entertainment', 'Rob Thomas Productions']",1070039,-2316427
815,Son of God,138.0,Drama,Hearst Entertainment Productions|LightWorkers Media,2/28/14,2014,20264003,62450032,2,10132001,"['Hearst Entertainment Productions', 'LightWorkers Media']",31225016,42186029
818,Barefoot,90.0,Comedy|Drama|Romance,WhiteFlame Productions,2/2/14,2014,5526546,13881,1,5526546,['WhiteFlame Productions'],13881,-5512665
819,Justice League: War,79.0,Animation,DC Comics|Warner Bros. Animation|DC Entertainment,2/2/14,2014,3223818,4748523,3,1074606,"['DC Comics', 'Warner Bros. Animation', 'DC Entertainment']",1582841,1524705
820,The Zero Theorem,107.0,Drama|Fantasy|Science Fiction,Le Pacte|Zanuck Independent|Voltage Pictures|MediaPro Pictures|Zephyr Films,1/2/14,2014,7829273,709890,5,1565854,"['Le Pacte', 'Zanuck Independent', 'Voltage Pictures', 'MediaPro Pictures', 'Zephyr Films']",141978,-7119383
823,When the Game Stands Tall,115.0,Drama,Mandalay Pictures|Affirm Films,8/22/14,2014,13816365,27750597,2,6908182,"['Mandalay Pictures', 'Affirm Films']",13875298,13934232
831,Decoding Annie Parker,91.0,Drama,Media House Capital|Unified Pictures|Decoding Annie Parker|Ozymandias Productions,5/2/14,2014,1842182,44571,4,460545,"['Media House Capital', 'Unified Pictures', 'Decoding Annie Parker', 'Ozymandias Productions']",11142,-1797611
837,The Quiet Ones,98.0,Horror,Hammer Film Productions|Exclusive Media Group|Travelling Picture Show Company,4/1/14,2014,184218,16427536,3,61406,"['Hammer Film Productions', 'Exclusive Media Group', 'Travelling Picture Show Company']",5475845,16243318
839,A Most Wanted Man,121.0,Thriller,Senator Film Produktion|Lionsgate|FilmNation Entertainment|Film4|Demarest Films,7/25/14,2014,13816365,29064894,5,2763273,"['Senator Film Produktion', 'Lionsgate', 'FilmNation Entertainment', 'Film4', 'Demarest Films']",5812978,15248529
842,The Pyramid,89.0,Horror,Fox International Productions|Sahara Productions|Silvatar Media,12/4/14,2014,5987091,12771328,3,1995697,"['Fox International Productions', 'Sahara Productions', 'Silvatar Media']",4257109,6784237
844,Clouds of Sils Maria,124.0,Drama,Pallas Film|CAB Productions|C.G. Cinema,8/20/14,2014,6079200,1431375,3,2026400,"['Pallas Film', 'CAB Productions', 'C.G. Cinema']",477125,-4647825
845,Kill the Messenger,112.0,Thriller|Crime|Drama|Mystery,The Combine|Bluegrass Films,10/9/14,2014,4605455,2257452,2,2302727,"['The Combine', 'Bluegrass Films']",1128726,-2348003
851,Honeymoon,87.0,Horror,Fewlas Entertainment,9/12/14,2014,921091,8582,1,921091,['Fewlas Entertainment'],8582,-912509
854,Locke,85.0,Drama|Thriller,IM Global|Shoebox Films|A24,4/10/14,2014,1842182,4269533,3,614060,"['IM Global', 'Shoebox Films', 'A24']",1423177,2427351
